timestamp,description,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1644843946, ,3.2999999523,3.5999999046,3.2000000477,4.0999999046,3.5,4.9000000954,3.4000000954,0,3.5,5.8000001907,3.2000000477,3.0999999046,3.2000000477
1644843947, ,3.2999999523,3.5999999046,3.2000000477,4.0999999046,3.5,4.9000000954,3.4000000954,0,3.5,5.8000001907,3.2000000477,3.0999999046,3.2000000477
1644843948, ,3.4000000954,3.0999999046,3,4.0999999046,3.5,4.9000000954,3.4000000954,0,3.5,5.8000001907,3.4000000954,3,3.4000000954
1644843949, ,3.4000000954,3.0999999046,3,4.0999999046,3.5,4.9000000954,3.4000000954,0,3.5,5.8000001907,3.4000000954,3,3.4000000954
1644843950, ,3.4000000954,3.0999999046,3,4.0999999046,3.5,4.9000000954,3.5999999046,0,3.2999999523,5.5999999046,3.4000000954,2.9000000954,3.4000000954
1644843951, ,3.4000000954,3.0999999046,3,4.0999999046,3.5,4.9000000954,3.5999999046,0,3.2999999523,5.5999999046,3.4000000954,2.9000000954,3.4000000954
1644843952, ,3.2999999523,3.9000000954,3.2999999523,3.5,3.2999999523,4.9000000954,3.5999999046,0,3.2999999523,5.5999999046,3.4000000954,2.9000000954,3.4000000954
1644843953, ,3.2999999523,3.9000000954,3.2999999523,3.5,3.2999999523,4.9000000954,3.5999999046,0,3.2999999523,5.5999999046,3.4000000954,2.9000000954,3.4000000954
1644843954, ,3.2999999523,3.5,3.2000000477,3.5999999046,3.4000000954,4.9000000954,3.5999999046,0,3.4000000954,5.5,3.2999999523,3,3.2999999523
1644843955, ,3.2999999523,3.5,3.2000000477,3.5999999046,3.4000000954,4.9000000954,3.4000000954,0,3.4000000954,5.5,3.2999999523,3,3.2999999523
1644843956, ,3.2999999523,3.5,3.2000000477,3.5999999046,3.4000000954,4.9000000954,3.4000000954,0,3.4000000954,5.5,3.2999999523,3,3.2999999523
1644843957, ,3.2999999523,3.5,3.2000000477,3.5999999046,3.4000000954,4.9000000954,3.4000000954,0,3.4000000954,5.4000000954,3.2999999523,3,3.5
1644843958, ,3.4000000954,3.4000000954,3.2000000477,3.5,3.5,4.9000000954,3.4000000954,0,3.4000000954,5.4000000954,3.2999999523,3,3.5
1644843959, ,3.4000000954,3.4000000954,3.2000000477,3.5,3.5,4.9000000954,3.5999999046,0,3.4000000954,5.4000000954,3.2999999523,3,3.5
1644843960, ,3.4000000954,3.4000000954,3.2000000477,3.5,3.5,4.9000000954,3.5999999046,0,3.2999999523,7.5999999046,3.7999999523,2.9000000954,3.5
1644843961, ,3.5,3,3.2000000477,3.7999999523,3.2999999523,4.9000000954,3.5999999046,0,3.2999999523,7.5999999046,3.7999999523,2.9000000954,3.5
1644843962, ,3.5,3,3.2000000477,3.7999999523,3.2999999523,4.9000000954,3.5,0,3.2999999523,7.5999999046,3.7999999523,2.9000000954,3.5
1644843963, ,3.5,3,3.2000000477,3.7999999523,3.2999999523,4.9000000954,3.5,0,3.5,5.8000001907,3.2999999523,3.7000000477,3.2999999523
1644843964, ,3.2999999523,3.4000000954,3.2000000477,3.7000000477,3.5,5,3.4000000954,0,3.5,5.8000001907,3.2999999523,3.7000000477,3.2999999523
