Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106,192.168.5.107
1646005723,6379,23.7000000477,3.4000000954,3.5999999046,3.4000000954,3.4000000954,3.2999999523,3.2999999523,3.2999999523
1646005724,6380,23.9000000954,3.4000000954,3.5999999046,3.4000000954,3.4000000954,3.2999999523,3.2999999523,3.5
1646005725,6381,24.1000001431,3.4000000954,3.5999999046,3.4000000954,3.5,3.2999999523,3.4000000954,3.5
1646005726,6382,24.1000001431,3.4000000954,3.5999999046,3.4000000954,3.5,3.2999999523,3.4000000954,3.5
1646005727,6383,24.0000002385,3.4000000954,3.5999999046,3.4000000954,3.5,3.2999999523,3.4000000954,3.4000000954
1646005728,6384,24.2000000477,3.5,3.5999999046,3.5,3.5,3.2999999523,3.4000000954,3.4000000954
1646005729,6385,24.5999999046,3.5,3.5999999046,3.5,3.5,3.5,3.5999999046,3.4000000954
1646005730,6386,24.5999999046,3.5,3.5999999046,3.5,3.5,3.5,3.5999999046,3.4000000954
1646005731,6387,23.9000000954,3.2999999523,3.5,3.4000000954,3.2999999523,3.4000000954,3.5999999046,3.4000000954
1646005732,6388,23.9000000954,3.2999999523,3.5,3.4000000954,3.2999999523,3.4000000954,3.5999999046,3.4000000954
1646005733,6389,23.9000000954,3.2999999523,3.5,3.4000000954,3.2999999523,3.4000000954,3.5999999046,3.4000000954
1646005734,6390,24.8000001908,3.5999999046,3.5999999046,3.4000000954,3.9000000954,3.4000000954,3.5,3.4000000954
1646005735,6391,24.8000001908,3.5999999046,3.5999999046,3.4000000954,3.9000000954,3.4000000954,3.5,3.4000000954
1646005736,6392,24.4000000954,3.5,3.5,3.5,3.4000000954,3.5,3.5,3.5
1646005737,6393,24.4000000954,3.5,3.5,3.5,3.4000000954,3.5,3.5,3.5
1646005738,6394,24.4000000954,3.5,3.5,3.5,3.4000000954,3.5,3.5,3.5
1646005739,6395,24.2000000477,3.5,3.5,3.5,3.4000000954,3.5,3.5,3.2999999523
1646005740,6396,24,3.5,3.5999999046,3.2999999523,3.4000000954,3.4000000954,3.5,3.2999999523
1646005741,6397,24,3.5,3.5999999046,3.2999999523,3.4000000954,3.4000000954,3.5,3.2999999523
1646005742,6398,23.7000000477,3.2999999523,3.5999999046,3.2999999523,3.4000000954,3.4000000954,3.5,3.2000000477
1646005743,6399,23.2999997138,3.2999999523,3.2999999523,3.2999999523,3.5999999046,3.2999999523,3.2999999523,3.2000000477
1646005744,6400,24.0999996661,3.5,3.5999999046,3.2999999523,3.5999999046,3.2999999523,3.2999999523,3.5
1646005745,6401,24.0999996661,3.5,3.5999999046,3.2999999523,3.5999999046,3.2999999523,3.2999999523,3.5
1646005746,6402,24.5,3.5,3.5999999046,3.5,3.7000000477,3.2999999523,3.4000000954,3.5
1646005747,6403,24.2000000477,3.5,3.5999999046,3.5,3.7000000477,3.2999999523,3.4000000954,3.2000000477
1646005748,6404,24.2000002862,3.4000000954,3.5,3.4000000954,3.7000000477,3.5,3.5,3.2000000477
1646005749,6405,24.2000002862,3.4000000954,3.5,3.4000000954,3.7000000477,3.5,3.5,3.2000000477
1646005750,6406,24.3000001908,3.4000000954,3.5,3.4000000954,3.7000000477,3.5,3.5,3.2999999523
1646005751,6407,23.8000001908,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.5,3.5,3.2999999523
1646005752,6408,23.8000001908,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.5,3.5999999046,3.2000000477
1646005753,6409,23.8000001908,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.5,3.5999999046,3.2000000477
1646005754,6410,24.4000000954,3.9000000954,3.5,3.2999999523,3.7000000477,3.2999999523,3.5,3.2000000477
1646005755,6411,24.7000000477,3.9000000954,3.5,3.2999999523,3.7000000477,3.2999999523,3.5,3.5
1646005756,6412,24,3.4000000954,3.5,3.2999999523,3.5999999046,3.2999999523,3.4000000954,3.5
1646005757,6413,24,3.4000000954,3.5,3.2999999523,3.5999999046,3.2999999523,3.4000000954,3.5
1646005758,6414,24,3.4000000954,3.5,3.2999999523,3.5999999046,3.2999999523,3.4000000954,3.5
1646005759,6415,24.9000000954,3.2999999523,3.2000000477,3.5,4.4000000954,3.5,3.5,3.5
1646005760,6416,24.9000000954,3.2999999523,3.2000000477,3.5,4.4000000954,3.5,3.5,3.5
1646005761,6417,24.9000000954,3.2999999523,3.2000000477,3.5,4.4000000954,3.5,3.5,3.5
1646005762,6418,24.6000001431,3.2000000477,3.2000000477,3.5,4.4000000954,3.5,3.5,3.2999999523
1646005763,6419,24.4999997616,3.2000000477,3.7000000477,3.2999999523,4.1999998093,3.2999999523,3.5,3.2999999523
1646005764,6420,24.4999997616,3.2000000477,3.7000000477,3.2999999523,4.1999998093,3.2999999523,3.5,3.2999999523
1646005765,6421,24.7999997139,3.4000000954,3.5999999046,3.2999999523,4.1999998093,3.2999999523,3.5,3.5
1646005766,6422,24.7999999523,3.4000000954,3.5999999046,3.5999999046,4,3.4000000954,3.2999999523,3.5
1646005767,6423,25.1000001431,3.5,3.5999999046,3.4000000954,4.4000000954,3.4000000954,3.2999999523,3.5
1646005768,6424,25.4000000954,3.5,3.5999999046,3.4000000954,4.4000000954,3.5,3.5,3.5
1646005769,6425,25.2000000477,3.5,3.5999999046,3.4000000954,4.4000000954,3.5,3.5,3.2999999523
1646005770,6426,24,3.2000000477,3.0999999046,3.4000000954,4,3.5,3.5,3.2999999523
1646005771,6427,24,3.2000000477,3.0999999046,3.4000000954,4,3.5,3.5,3.2999999523
1646005772,6428,24,3.2000000477,3.0999999046,3.4000000954,4,3.5,3.5,3.2999999523
