Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105
1645961285,6888,17.3000001908,3.2999999523,3.4000000954,3.4000000954,3.4000000954,3.7999999523
1645961286,6889,16.9000000954,3.5,3.4000000954,3.2999999523,3.2999999523,3.4000000954
1645961287,6890,16.9000000954,3.5,3.4000000954,3.2999999523,3.2999999523,3.4000000954
1645961288,6891,16.8000001908,3.4000000954,3.4000000954,3.2999999523,3.2999999523,3.4000000954
1645961289,6892,17.5,3.4000000954,3.7000000477,3.2999999523,3.5999999046,3.5
1645961290,6893,17.5,3.4000000954,3.7000000477,3.2999999523,3.5999999046,3.5
1645961291,6894,16.9000000954,3.5,3.4000000954,3.2999999523,3.5,3.2000000477
1645961292,6895,16.9000000954,3.5,3.4000000954,3.2999999523,3.5,3.2000000477
1645961293,6896,16.9000000954,3.5,3.4000000954,3.2999999523,3.5,3.2000000477
1645961294,6897,16.8000001908,3.2999999523,3.4000000954,3.4000000954,3.5,3.2000000477
1645961295,6898,17.3000001908,3.2999999523,3.4000000954,3.4000000954,3.2999999523,3.9000000954
1645961296,6899,17.3000001908,3.2999999523,3.4000000954,3.4000000954,3.2999999523,3.9000000954
1645961297,6900,17.1000001431,3.4000000954,3.4000000954,3.5,3.5,3.2999999523
1645961298,6901,17.1000001431,3.4000000954,3.4000000954,3.5,3.5,3.2999999523
1645961299,6902,17.1000001431,3.4000000954,3.4000000954,3.5,3.5,3.2999999523
1645961300,6903,17.0000002385,3.4000000954,3.4000000954,3.2000000477,3.5,3.5
1645961301,6904,17.0000002385,3.4000000954,3.4000000954,3.2000000477,3.5,3.5
1645961302,6905,17.4000000954,3.2999999523,3.7000000477,3.2999999523,3.4000000954,3.7000000477
1645961303,6906,17.4000000954,3.2999999523,3.7000000477,3.2999999523,3.4000000954,3.7000000477
1645961304,6907,17.4000000954,3.2999999523,3.7000000477,3.2999999523,3.4000000954,3.7000000477
1645961305,6908,17.4000000954,3.2999999523,3.7000000477,3.2999999523,3.4000000954,3.7000000477
1645961306,6909,17.5,3.2999999523,4.0999999046,3.2999999523,3.4000000954,3.4000000954
1645961307,6910,17.5,3.2999999523,4.0999999046,3.2999999523,3.4000000954,3.4000000954
1645961308,6911,17,3.4000000954,3.5,3.2999999523,3.5,3.2999999523
1645961309,6912,17,3.4000000954,3.5,3.2999999523,3.5,3.2999999523
1645961310,6913,17,3.4000000954,3.5,3.2999999523,3.5,3.2999999523
1645961311,6914,16.8999998569,3.2999999523,3.5,3.2999999523,3.5,3.2999999523
1645961312,6915,17.8999998569,3.2999999523,3.5,3.7000000477,3.5999999046,3.7999999523
1645961313,6916,17.8999998569,3.2999999523,3.5,3.7000000477,3.5999999046,3.7999999523
1645961314,6917,17.3999998569,3.2999999523,3.4000000954,3.2999999523,3.5999999046,3.7999999523
1645961315,6918,17.1000001431,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.7000000477
1645961316,6919,17.3000001908,3.5,3.2999999523,3.4000000954,3.4000000954,3.7000000477
1645961317,6920,17.0000002385,3.5,3.2999999523,3.4000000954,3.4000000954,3.4000000954
1645961318,6921,17.0000002385,3.5,3.2999999523,3.4000000954,3.4000000954,3.4000000954
1645961319,6922,17.0000002385,3.5,3.2999999523,3.4000000954,3.4000000954,3.4000000954
1645961320,6923,17.2999997138,3.4000000954,3.5999999046,3.0999999046,3.5999999046,3.5999999046
