Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104
1645952886,7223,13.4000000954,3.2999999523,3.4000000954,3.4000000954,3.2999999523
1645952887,7224,13.6000001431,3.5,3.4000000954,3.4000000954,3.2999999523
1645952888,7225,13.7000000477,3.5,3.4000000954,3.2999999523,3.5
1645952889,7226,13.7000000477,3.5,3.4000000954,3.2999999523,3.5
1645952890,7227,14,3.4000000954,3.5,3.5999999046,3.5
1645952891,7228,14,3.4000000954,3.5,3.5999999046,3.5
1645952892,7229,13.5999999046,3.2999999523,3.5999999046,3.2999999523,3.4000000954
1645952893,7230,13.5999999046,3.2999999523,3.5999999046,3.2999999523,3.4000000954
1645952894,7231,13.5999999046,3.2999999523,3.5999999046,3.2999999523,3.4000000954
1645952895,7232,13.5999999046,3.2999999523,3.5999999046,3.2999999523,3.4000000954
1645952896,7233,13.5999999046,3.5,3.0999999046,3.2999999523,3.7000000477
1645952897,7234,13.5999999046,3.5,3.0999999046,3.2999999523,3.7000000477
1645952898,7235,13.7000000477,3.2999999523,3.4000000954,3.4000000954,3.5999999046
1645952899,7236,13.7000000477,3.2999999523,3.4000000954,3.4000000954,3.5999999046
1645952900,7237,13.7000000477,3.2999999523,3.4000000954,3.4000000954,3.5999999046
1645952901,7238,13.7000000477,3.2999999523,3.5,3.5,3.4000000954
1645952902,7239,13.7000000477,3.2999999523,3.5,3.5,3.4000000954
1645952903,7240,13.7000000477,3.2999999523,3.5,3.5,3.4000000954
1645952904,7241,13.3000001908,3.2000000477,3.4000000954,3.2999999523,3.4000000954
1645952905,7242,13.3000001908,3.2000000477,3.4000000954,3.2999999523,3.4000000954
1645952906,7243,13.3000001908,3.2000000477,3.4000000954,3.2999999523,3.4000000954
1645952907,7244,13.3000001908,3.4000000954,3.2000000477,3.2999999523,3.4000000954
1645952908,7245,13.4000003339,3.4000000954,3.2000000477,3.4000000954,3.4000000954
1645952909,7246,13.5,3.2999999523,3.2999999523,3.5,3.4000000954
1645952910,7247,13.5,3.2999999523,3.2999999523,3.5,3.4000000954
1645952911,7248,13.5,3.2999999523,3.2999999523,3.5,3.4000000954
1645952912,7249,13.5,3.2999999523,3.2999999523,3.5,3.4000000954
1645952913,7250,13.6000001431,3.2999999523,3.5,3.4000000954,3.4000000954
1645952914,7251,13.6000001431,3.2999999523,3.5,3.4000000954,3.4000000954
1645952915,7252,13.6000001431,3.2999999523,3.5,3.4000000954,3.4000000954
1645952916,7253,13.7000000477,3.2999999523,3.5999999046,3.4000000954,3.4000000954
1645952917,7254,13.7000000477,3.2999999523,3.5999999046,3.4000000954,3.4000000954
1645952918,7255,13.7000000477,3.2999999523,3.5999999046,3.4000000954,3.4000000954
1645952919,7256,13.5,3.5,3.2000000477,3.2999999523,3.5
1645952920,7257,13.5,3.5,3.2000000477,3.2999999523,3.5
1645952921,7258,13.5,3.5,3.2000000477,3.2999999523,3.5
1645952922,7259,13.9000000954,3.4000000954,3.5999999046,3.5,3.4000000954
1645952923,7260,13.9000000954,3.4000000954,3.5999999046,3.5,3.4000000954
1645952924,7261,13.4000000954,3.2000000477,3.5,3.4000000954,3.2999999523
1645952925,7262,13.4000000954,3.2000000477,3.5,3.4000000954,3.2999999523
1645952926,7263,13.4000000954,3.2000000477,3.5,3.4000000954,3.2999999523
1645952927,7264,13.6000001431,3.4000000954,3.2000000477,3.2999999523,3.7000000477
1645952928,7265,13.6000001431,3.4000000954,3.2000000477,3.2999999523,3.7000000477
1645952929,7266,13.6000001431,3.4000000954,3.2000000477,3.2999999523,3.7000000477
1645952930,7267,13.4000000954,3.4000000954,3.2000000477,3.2999999523,3.5
1645952931,7268,13.4000000954,3.4000000954,3.2000000477,3.2999999523,3.5
1645952932,7269,13.4000000954,3.4000000954,3.2000000477,3.2999999523,3.5
1645952933,7270,13.8000001908,3.4000000954,3.5,3.4000000954,3.5
1645952934,7271,13.8000001908,3.4000000954,3.5,3.4000000954,3.5
1645952935,7272,13.2999999523,3.2999999523,3.5,3.2000000477,3.2999999523
1645952936,7273,13.2999999523,3.2999999523,3.5,3.2000000477,3.2999999523
1645952937,7274,13.2999999523,3.2999999523,3.5,3.2000000477,3.2999999523
1645952938,7275,13.2999999523,3.2999999523,3.5,3.2000000477,3.2999999523
1645952939,7276,13.7000000477,3.4000000954,3.4000000954,3.2999999523,3.5999999046
1645952940,7277,13.7000000477,3.4000000954,3.4000000954,3.2999999523,3.5999999046
1645952941,7278,13.7000000477,3.5,3.2000000477,3.5,3.5
1645952942,7279,13.7000000477,3.5,3.2000000477,3.5,3.5
