timestamp,description,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12
1644466470, ,5.1999998093,4,3.0999999046,3.2999999523,3.4000000954,6,3.4000000954,3.4000000954,4,3.5,2.9000000954,3.2999999523
1644466471, ,5.3000001907,3.5999999046,3.7999999523,3.2999999523,3.4000000954,4.9000000954,3.4000000954,3.4000000954,3.4000000954,3.5999999046,3.0999999046,3.4000000954
1644466472, ,5.3000001907,3.5999999046,3.7999999523,3.2999999523,3.4000000954,4.9000000954,3.4000000954,3.4000000954,3.4000000954,3.5999999046,3.0999999046,3.4000000954
1644466473, ,5.3000001907,3.5999999046,3.7999999523,3.2999999523,3.4000000954,4.9000000954,3.4000000954,3.4000000954,3.4000000954,3.5999999046,3.0999999046,3.4000000954
1644466474, ,5.1999998093,3.4000000954,3.2999999523,3.2999999523,3.2999999523,6.0999999046,3.4000000954,3.2999999523,3.4000000954,3.5999999046,3.0999999046,3.4000000954
1644466475, ,5.1999998093,3.4000000954,3.2999999523,3.2999999523,3.2999999523,6.0999999046,3.4000000954,3.2999999523,3.5,3.2999999523,2.9000000954,3.4000000954
1644466476, ,4.9000000954,3.4000000954,3.2999999523,3.2999999523,3.2999999523,6.0999999046,3.4000000954,3.2999999523,3.5,3.2999999523,2.9000000954,3.4000000954
1644466477, ,4.9000000954,3.4000000954,3.2999999523,3.2999999523,3.2999999523,6.0999999046,3.4000000954,3.2999999523,3.5,3.2999999523,2.9000000954,3.4000000954
1644466478, ,4.9000000954,3.4000000954,3.0999999046,3.4000000954,3.7000000477,5,3.5999999046,3.4000000954,3.0999999046,3.4000000954,2.9000000954,3.4000000954
1644466479, ,4.9000000954,3.4000000954,3.0999999046,3.4000000954,3.7000000477,5,3.5999999046,3.4000000954,3.0999999046,3.4000000954,2.9000000954,3.7000000477
1644466480, ,4.9000000954,3.4000000954,3.0999999046,3.4000000954,3.7000000477,5,3.5999999046,3.4000000954,3.0999999046,3.4000000954,2.9000000954,3.7000000477
1644466481, ,5.1999998093,3.4000000954,3.4000000954,3.4000000954,3.4000000954,4.0999999046,3.4000000954,3.2999999523,3.5,3.2999999523,3,3.7000000477
1644466482, ,5.1999998093,3.4000000954,3.4000000954,3.4000000954,3.4000000954,4.0999999046,3.4000000954,3.2999999523,3.5,3.2999999523,3,3.0999999046
1644466483, ,5.1999998093,3.4000000954,3.4000000954,3.4000000954,3.4000000954,4.0999999046,3.4000000954,3.2999999523,3.5,3.2999999523,3,3.0999999046
1644466484, ,4.5999999046,3.4000000954,3.2999999523,3.2000000477,3.5,5,3.7000000477,3.4000000954,3.7999999523,3.4000000954,2.9000000954,3.4000000954
1644466485, ,4.5999999046,3.4000000954,3.2999999523,3.2000000477,3.5,5,3.7000000477,3.4000000954,3.7999999523,3.4000000954,2.9000000954,3.4000000954
1644466486, ,4.5999999046,3.4000000954,3.2999999523,3.2000000477,3.5,5,3.7000000477,3.4000000954,3.7999999523,3.4000000954,2.9000000954,3.4000000954
1644466487, ,5.1999998093,3.4000000954,3.0999999046,3.5,3.4000000954,5.0999999046,3.2999999523,3.4000000954,3.5,3.4000000954,2.9000000954,3.4000000954
1644466488, ,5.1999998093,3.4000000954,3.0999999046,3.5,3.4000000954,5.0999999046,3.2999999523,3.2999999523,3.5,3.5,3.2000000477,3.7000000477
1644466489, ,5.3000001907,3.2000000477,3.4000000954,3.5,3.2999999523,6.3000001907,3.2999999523,3.2999999523,3.5,3.5,3.2000000477,3.7000000477
1644466490, ,5.3000001907,3.2000000477,3.4000000954,3.5,3.2999999523,6.3000001907,3.4000000954,3.7999999523,3.5,3.2000000477,3.4000000954,3.4000000954
1644466491, ,5.3000001907,3.2000000477,3.4000000954,3.5,3.2999999523,6.3000001907,3.4000000954,3.7999999523,3.5,3.2000000477,3.4000000954,3.4000000954
1644466492, ,5.1999998093,3.4000000954,3.0999999046,3.2999999523,3.5,6.3000001907,3.4000000954,3.7999999523,3.5,3.2000000477,3.4000000954,3.4000000954
1644466493, ,5.1999998093,3.4000000954,3.0999999046,3.2999999523,3.5,6.1999998093,3.5,3.4000000954,3.7000000477,3.5,3.2999999523,3.4000000954
1644466494, ,5.1999998093,3.4000000954,3.0999999046,3.2999999523,3.5,6.1999998093,3.5,3.4000000954,3.7000000477,3.5,3.2999999523,3.4000000954
1644466495, ,5.1999998093,3.5,3.2000000477,3.4000000954,3.2999999523,6.1999998093,3.5,3.4000000954,3.7000000477,3.5,3.2999999523,3.4000000954
1644466496, ,5.1999998093,3.5,3.2000000477,3.4000000954,3.2999999523,6.1999998093,3.5,3.4000000954,3.7000000477,3.5,3.2999999523,3.4000000954
1644466497, ,5.1999998093,3.5,3.2000000477,3.4000000954,3.2999999523,4.8000001907,3.2999999523,3.4000000954,3.5,3.5,3,3.7999999523
1644466498, ,5.1999998093,3.5,3.2000000477,3.4000000954,3.2999999523,4.8000001907,3.2999999523,3.4000000954,3.5,3.5,3,3.7999999523
1644466499, ,5.1999998093,3.5,3.2999999523,3.2999999523,3.2999999523,4.8000001907,3.2999999523,3.4000000954,3.5,3.5,3,3.7999999523
1644466500, ,5.1999998093,3.5,3.2999999523,3.2999999523,3.2999999523,5,3.4000000954,3.4000000954,3.5,3.2999999523,3,3.2999999523
1644466501, ,5.1999998093,3.5,3.2999999523,3.2999999523,3.2999999523,5,3.4000000954,3.4000000954,3.5,3.2999999523,3,3.2999999523
1644466502, ,5.1999998093,3.5,3.0999999046,3.2999999523,3.4000000954,4.1999998093,3.5,3.4000000954,3.5,3.2999999523,3,3.2999999523
1644466503, ,5.1999998093,3.5,3.0999999046,3.2999999523,3.4000000954,4.1999998093,3.5,3.4000000954,3.5999999046,3.5,2.9000000954,3.4000000954
1644466504, ,4.3000001907,3.4000000954,3.0999999046,3.2999999523,3.4000000954,4.1999998093,3.5,3.4000000954,3.5999999046,3.5,2.9000000954,3.4000000954
1644466505, ,4.3000001907,3.4000000954,3.0999999046,3.2999999523,3.4000000954,4.1999998093,3.5,3.4000000954,3.5999999046,3.5,2.9000000954,3.4000000954
1644466506, ,4.3000001907,3.4000000954,3.2999999523,3.2999999523,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.5,3.2999999523,3,3.7999999523
1644466507, ,5.1999998093,3.4000000954,3.2999999523,3.2999999523,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.5,3.2999999523,3,3.7999999523
1644466508, ,5.1999998093,3.4000000954,3.2999999523,3.2999999523,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.5,3.2999999523,3,3.7999999523
1644466509, ,5.1999998093,3.2999999523,3.2000000477,3.2999999523,3.2999999523,3.5,3.5999999046,3.4000000954,3.5,3.5,3,3.2999999523
