timestamp,p1,p2,p3,p4,p5,p6,p9,p10,p11,p12,p13,p14,Total_Energy
timestamp,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106,192.168.5.107,192.168.5.108,192.168.5.109,192.168.5.110,192.168.5.111,192.168.5.112,Total_Energy
1646029576,3.4000000954,3.4000000954,3.5,3.5,3.4000000954,3.5,3.4000000954,3.2999999523,3.5999999046,3.5,3.2000000477,3.2999999523,41.0000002385
1646029577,3.4000000954,3.4000000954,3.5,3.5,3.4000000954,3.5,3.4000000954,3.2999999523,3.5999999046,3.5,3.2000000477,3.2999999523,41.0000002385
1646029578,3.4000000954,3.4000000954,3.5,3.5,3.5,3.5999999046,3.4000000954,3.2999999523,3.5999999046,3.5,3.2000000477,3.2999999523,41.2000000477
1646029579,3.4000000954,3.4000000954,3.5,3.5,3.5,3.5999999046,3.4000000954,3.4000000954,3.5999999046,3.4000000954,3.2999999523,3.4000000954,41.4000003339
1646029580,3.2999999523,3.5,3.4000000954,3.4000000954,3.2999999523,3.5,3.4000000954,3.4000000954,3.5999999046,3.4000000954,3.2999999523,3.4000000954,40.9000003339
1646029581,3.2999999523,3.5,3.4000000954,3.4000000954,3.2999999523,3.5,3.4000000954,3.4000000954,3.5999999046,3.4000000954,3.2999999523,3.4000000954,40.9000003339
1646029582,3.2999999523,3.5,3.4000000954,3.4000000954,3.2999999523,3.5,3.4000000954,3.2000000477,3.5999999046,3.2999999523,3.4000000954,3.5,40.8000001908
1646029583,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.5,3.5,3.4000000954,3.2000000477,3.5999999046,3.2999999523,3.4000000954,3.5,40.8000001908
1646029584,3.2999999523,3.4000000954,3.2999999523,3.4000000954,3.5,3.5,3.5,3.2000000477,3.5999999046,3.2999999523,3.4000000954,3.5,40.9000000954
1646029585,3.5,3.2999999523,3.7000000477,3.5,3.2999999523,3.5,3.5,4,3.5,3.2999999523,3.4000000954,3.5999999046,42.0999999046
1646029586,3.5,3.2999999523,3.7000000477,3.5,3.2999999523,3.5,3.5,4,3.5,3.2999999523,3.4000000954,3.5999999046,42.0999999046
