Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102,192.168.5.103,192.168.5.104,192.168.5.105,192.168.5.106,192.168.5.107,192.168.5.108,192.168.5.109,192.168.5.110
1646049703,3764,34.2000002862,3.4000000954,3.5999999046,3.4000000954,3.4000000954,3.2999999523,3.5,3.4000000954,3.2999999523,3.4000000954,3.5
1646049704,3765,34.5000002385,3.4000000954,3.5,3.7000000477,3.5,3.2999999523,3.5,3.4000000954,3.2999999523,3.4000000954,3.5
1646049705,3766,34.500000477,3.4000000954,3.5,3.7000000477,3.5,3.4000000954,3.4000000954,3.4000000954,3.2999999523,3.4000000954,3.5
1646049706,3767,34.6000003816,3.4000000954,3.5,3.7000000477,3.5,3.4000000954,3.4000000954,3.5,3.4000000954,3.5,3.2999999523
1646049707,3768,34.2000000477,3.2999999523,3.2999999523,3.4000000954,3.5999999046,3.5,3.4000000954,3.5,3.4000000954,3.5,3.2999999523
1646049708,3769,34.3999998569,3.2999999523,3.2999999523,3.4000000954,3.5999999046,3.5,3.5,3.4000000954,3.2999999523,3.5999999046,3.5
1646049709,3770,34.3999998569,3.2999999523,3.2999999523,3.4000000954,3.5999999046,3.5,3.5,3.4000000954,3.2999999523,3.5999999046,3.5
1646049710,3771,34.7000000477,3.7999999523,3.5,3.5,3.5,3.2000000477,3.4000000954,3.4000000954,3.2999999523,3.5999999046,3.5
1646049711,3772,34.5000002385,3.7999999523,3.5,3.5,3.5,3.2000000477,3.4000000954,3.4000000954,3.2999999523,3.5,3.4000000954
1646049712,3773,34.2000002862,3.4000000954,3.5999999046,3.2999999523,3.4000000954,3.4000000954,3.5,3.4000000954,3.2999999523,3.5,3.4000000954
1646049713,3774,34.2000002862,3.4000000954,3.5999999046,3.2999999523,3.4000000954,3.4000000954,3.5,3.4000000954,3.2999999523,3.5,3.4000000954
1646049714,3775,34.3000001908,3.4000000954,3.5999999046,3.2999999523,3.4000000954,3.4000000954,3.5,3.5,3.2999999523,3.5,3.4000000954
1646049715,3776,34.2000000477,3.4000000954,3.5999999046,3.2999999523,3.4000000954,3.4000000954,3.5,3.5,3.2999999523,3.5,3.2999999523
1646049716,3777,34.2999999523,3.2999999523,3.5999999046,3.2999999523,3.7000000477,3.4000000954,3.4000000954,3.5,3.2999999523,3.5,3.2999999523
1646049717,3778,34.7000002862,3.2999999523,3.5999999046,3.2999999523,3.7000000477,3.4000000954,3.4000000954,3.4000000954,3.4000000954,3.9000000954,3.2999999523
1646049718,3779,34.6000003816,3.2999999523,3.5,3.4000000954,3.4000000954,3.5,3.5,3.4000000954,3.4000000954,3.9000000954,3.2999999523
