Timestamp,Time,Total_energy,192.168.5.101,192.168.5.102
1645846577,443,11.9000000953,6.5999999046,5.3000001907
1645846578,444,11.9000000953,6.5999999046,5.3000001907
1645846579,445,13.0999999046,7.5,5.5999999046
1645846580,446,13.0999999046,7.5,5.5999999046
1645846581,447,13.0999999046,7.5,5.5999999046
1645846582,448,11.2000002861,5.8000001907,5.4000000954
1645846583,449,11.2000002861,5.8000001907,5.4000000954
1645846584,450,12.5,7.0999999046,5.4000000954
1645846585,451,12.5999999046,7.0999999046,5.5
1645846586,452,12.5999999046,7.0999999046,5.5
1645846587,453,13,7.5,5.5
1645846588,454,13.0999999046,7.5,5.5999999046
1645846589,455,13.0999999046,7.5,5.5999999046
1645846590,456,11.2999997139,5.6999998093,5.5999999046
1645846591,457,11.2999997139,5.6999998093,5.5999999046
1645846592,458,11.9000000953,6.3000001907,5.5999999046
1645846593,459,11.9000000953,6.3000001907,5.5999999046
1645846594,460,11.9000000953,6.3000001907,5.5999999046
1645846595,461,11.9000000953,6.3000001907,5.5999999046
1645846596,462,12.2999997139,6.6999998093,5.5999999046
1645846597,463,12.2999997139,6.6999998093,5.5999999046
1645846598,464,12.2999997139,6.6999998093,5.5999999046
1645846599,465,12.2000002861,6.4000000954,5.8000001907
1645846600,466,12.2000002861,6.4000000954,5.8000001907
1645846601,467,12.4000000954,6.9000000954,5.5
1645846602,468,12.4000000954,6.9000000954,5.5
1645846603,469,12.4000000954,6.9000000954,5.5
1645846604,470,12.4000000954,6.9000000954,5.5
1645846605,471,12,5.0999999046,6.9000000954
1645846606,472,12,5.0999999046,6.9000000954
1645846607,473,14.2000002861,7.3000001907,6.9000000954
1645846608,474,12.8000001907,7.3000001907,5.5
1645846609,475,12.8000001907,7.3000001907,5.5
1645846610,476,12.5999999047,7.1999998093,5.4000000954
1645846611,477,12.5999999047,7.1999998093,5.4000000954
1645846612,478,12.5999999047,7.1999998093,5.4000000954
1645846613,479,12,6.5999999046,5.4000000954
1645846614,480,12,6.5999999046,5.4000000954
1645846615,481,11.8000001908,6.4000000954,5.4000000954
1645846616,482,11.8000001908,6.4000000954,5.4000000954
1645846617,483,11.8000001908,6.4000000954,5.4000000954
1645846618,484,11.8000001908,6.4000000954,5.4000000954
1645846619,485,12.6999998092,7.0999999046,5.5999999046
1645846620,486,12.6999998092,7.0999999046,5.5999999046
1645846621,487,13.4000000954,6.5,6.9000000954
1645846622,488,13.4000000954,6.5,6.9000000954
1645846623,489,13.4000000954,6.5,6.9000000954
1645846624,490,13.4000000954,6.5,6.9000000954
1645846625,491,12.0999999046,6.5,5.5999999046
1645846626,492,12.0999999046,6.5,5.5999999046
1645846627,493,12.6999998092,7.0999999046,5.5999999046
1645846628,494,12.1999998092,7.0999999046,5.0999999046
1645846629,495,12.1999998092,7.0999999046,5.0999999046
1645846630,496,12.8999996186,7.1999998093,5.6999998093
1645846631,497,12.8999996186,7.1999998093,5.6999998093
1645846632,498,13.2999997139,7.6999998093,5.5999999046
1645846633,499,13.2999997139,7.6999998093,5.5999999046
1645846634,500,13.2999997139,7.6999998093,5.5999999046
1645846635,501,13.2999997139,7.6999998093,5.5999999046
1645846636,502,13.0999999046,7.5,5.5999999046
1645846637,503,13.0999999046,7.5,5.5999999046
1645846638,504,12.4000000953,7.0999999046,5.3000001907
1645846639,505,12.4000000953,7.0999999046,5.3000001907
1645846640,506,12.4000000953,7.0999999046,5.3000001907
1645846641,507,12.9000000953,7.3000001907,5.5999999046
1645846642,508,12.9000000953,7.3000001907,5.5999999046
1645846643,509,12.9000000953,7.3000001907,5.5999999046
1645846644,510,12.4000000953,7.3000001907,5.0999999046
1645846645,511,12.4000000953,7.3000001907,5.0999999046
1645846646,512,12.4000000953,7.3000001907,5.0999999046
1645846647,513,12.7999997139,7.1999998093,5.5999999046
1645846648,514,12.7999997139,7.1999998093,5.5999999046
1645846649,515,12.7999997139,7.1999998093,5.5999999046
1645846650,516,11.2999997139,5.6999998093,5.5999999046
1645846651,517,11.2999997139,5.6999998093,5.5999999046
1645846652,518,11.2999997139,5.6999998093,5.5999999046
1645846653,519,12.3999996186,6.6999998093,5.6999998093
1645846654,520,12.3999996186,6.6999998093,5.6999998093
1645846655,521,12.3999996186,6.6999998093,5.6999998093
1645846656,522,12.6999998092,7.0999999046,5.5999999046
1645846657,523,12.6999998092,7.0999999046,5.5999999046
1645846658,524,12.6999998092,7.0999999046,5.5999999046
1645846659,525,12.2000002861,6.8000001907,5.4000000954
1645846660,526,12.2000002861,6.8000001907,5.4000000954
1645846661,527,11.6999998093,6.1999998093,5.5
1645846662,528,11.6999998093,6.1999998093,5.5
1645846663,529,11.6999998093,6.1999998093,5.5
